eviction_episode,visit_count,first_episode,last_episode,age_episodes,unique_actions_executed,near_promotion,recent_candidate,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,blocked_evidence_archived
394,1,390,390,4,1,False,False,511,0,0,1,0,0,0,1,False
394,1,390,390,4,1,False,False,511,0,0,1,0,0,0,1,False
394,1,391,391,3,1,False,False,511,0,0,1,0,0,0,1,False
394,1,391,391,3,1,False,False,511,0,0,1,0,0,0,1,False
394,1,391,391,3,1,False,False,511,0,0,1,0,0,0,1,False
394,1,391,391,3,1,False,False,511,0,0,1,0,0,0,1,False
394,1,392,392,2,1,False,True,511,0,0,1,1,0,0,0,False
394,1,392,392,2,1,False,True,511,0,0,1,1,0,0,0,False
394,1,392,392,2,1,False,True,511,0,0,1,1,0,0,0,False
394,1,392,392,2,1,False,True,511,0,0,1,1,0,0,0,False
394,1,392,392,2,1,False,True,511,0,0,1,0,0,0,1,False
394,1,392,392,2,1,False,True,511,0,0,1,0,0,0,1,False
394,1,392,392,2,1,False,True,511,0,0,1,0,0,0,1,False
394,1,393,393,1,1,False,True,511,0,0,1,0,0,0,1,False
399,1,393,393,6,1,False,False,511,0,0,1,0,0,0,1,False
399,1,393,393,6,1,False,False,511,0,0,1,0,0,0,1,False
399,1,393,393,6,1,False,False,511,0,0,1,0,0,0,1,False
399,1,394,394,5,1,False,False,511,0,0,1,0,0,0,0,False
399,1,394,394,5,1,False,False,511,0,0,1,0,0,0,0,False
399,1,394,394,5,1,False,False,511,0,0,1,0,0,0,0,False
399,1,394,394,5,1,False,False,511,0,0,1,0,0,0,0,False
399,1,394,394,5,1,False,False,511,0,0,1,0,0,0,1,False
399,1,394,394,5,1,False,False,511,0,0,1,0,0,0,1,False
399,1,394,394,5,1,False,False,511,0,0,1,0,0,0,1,False
399,1,394,394,5,1,False,False,511,0,0,1,0,0,0,1,False
399,1,395,395,4,1,False,False,511,0,0,1,0,0,0,1,False
399,1,395,395,4,1,False,False,511,0,0,1,0,0,0,1,False
399,1,395,395,4,1,False,False,511,0,0,1,0,0,0,1,False
399,1,395,395,4,1,False,False,511,0,0,1,0,0,0,1,False
399,1,396,396,3,1,False,False,511,0,0,1,1,0,0,0,False
399,1,396,396,3,1,False,False,511,0,0,1,1,0,0,0,False
399,1,396,396,3,1,False,False,511,0,0,1,1,0,0,0,False
399,1,396,396,3,1,False,False,511,0,0,1,1,0,0,0,False
399,1,396,396,3,1,False,False,511,0,0,1,1,0,0,0,False
399,1,396,396,3,1,False,False,511,0,0,1,1,0,0,0,False
399,1,396,396,3,1,False,False,511,0,0,1,1,0,0,0,False
399,1,396,396,3,1,False,False,511,0,0,1,1,0,0,0,False
399,1,396,396,3,1,False,False,511,0,0,1,1,0,0,0,False
399,1,397,397,2,1,False,True,511,0,0,1,0,0,0,1,False
