series_id,method,phase,block,episode_start,episode_end,episodes_in_block,collision_count,out_of_road_count,safety_failure_count,total_steps,collisions_per_1000_steps,collision_rate,out_of_road_per_1000_steps,out_of_road_rate,safety_failures_per_1000_steps,safety_failure_rate
epsilon,Epsilon Greedy,train,1,0,24,25,0,25,25,41,0.0,0.0,609.7560975609756,1.0,609.7560975609756,1.0
epsilon,Epsilon Greedy,train,2,25,49,25,5,21,25,109,45.87155963302752,0.2,192.6605504587156,0.84,229.3577981651376,1.0
epsilon,Epsilon Greedy,train,3,50,74,25,7,20,25,146,47.945205479452056,0.28,136.986301369863,0.8,171.23287671232876,1.0
epsilon,Epsilon Greedy,train,4,75,99,25,9,18,25,176,51.13636363636363,0.36,102.27272727272727,0.72,142.04545454545453,1.0
epsilon,Epsilon Greedy,train,5,100,124,25,14,14,25,117,119.65811965811966,0.56,119.65811965811966,0.56,213.67521367521368,1.0
epsilon,Epsilon Greedy,train,6,125,149,25,18,9,25,117,153.84615384615384,0.72,76.92307692307692,0.36,213.67521367521368,1.0
epsilon,Epsilon Greedy,train,7,150,174,25,15,12,25,120,125.0,0.6,100.0,0.48,208.33333333333334,1.0
epsilon,Epsilon Greedy,train,8,175,199,25,14,16,25,89,157.30337078651687,0.56,179.77528089887642,0.64,280.8988764044944,1.0
epsilon,Epsilon Greedy,train,9,200,224,25,16,12,25,97,164.94845360824743,0.64,123.71134020618557,0.48,257.7319587628866,1.0
epsilon,Epsilon Greedy,train,10,225,249,25,18,12,25,116,155.17241379310346,0.72,103.44827586206897,0.48,215.51724137931035,1.0
epsilon,Epsilon Greedy,train,11,250,274,25,17,12,25,132,128.78787878787878,0.68,90.9090909090909,0.48,189.3939393939394,1.0
epsilon,Epsilon Greedy,train,12,275,299,25,16,9,25,106,150.9433962264151,0.64,84.90566037735849,0.36,235.8490566037736,1.0
epsilon,Epsilon Greedy,train,13,300,324,25,18,10,25,88,204.54545454545453,0.72,113.63636363636364,0.4,284.09090909090907,1.0
epsilon,Epsilon Greedy,train,14,325,349,25,16,11,25,112,142.85714285714286,0.64,98.21428571428571,0.44,223.21428571428572,1.0
epsilon,Epsilon Greedy,train,15,350,374,25,17,10,25,129,131.7829457364341,0.68,77.51937984496124,0.4,193.7984496124031,1.0
epsilon,Epsilon Greedy,train,16,375,399,25,12,15,25,100,120.0,0.48,150.0,0.6,250.0,1.0
epsilon,Epsilon Greedy,train,17,400,424,25,14,12,25,113,123.89380530973452,0.56,106.19469026548673,0.48,221.23893805309734,1.0
epsilon,Epsilon Greedy,train,18,425,449,25,14,11,25,110,127.27272727272727,0.56,100.0,0.44,227.27272727272728,1.0
epsilon,Epsilon Greedy,train,19,450,474,25,13,14,25,124,104.83870967741936,0.52,112.90322580645162,0.56,201.61290322580646,1.0
epsilon,Epsilon Greedy,train,20,475,499,25,16,12,25,122,131.14754098360655,0.64,98.36065573770492,0.48,204.91803278688525,1.0
epsilon,Epsilon Greedy,test,1,0,24,25,23,3,25,117,196.5811965811966,0.92,25.641025641025642,0.12,213.67521367521368,1.0
epsilon,Epsilon Greedy,test,2,25,49,25,23,2,25,126,182.53968253968253,0.92,15.873015873015873,0.08,198.4126984126984,1.0
epsilon,Epsilon Greedy,test,3,50,74,25,25,2,25,127,196.8503937007874,1.0,15.748031496062993,0.08,196.8503937007874,1.0
epsilon,Epsilon Greedy,test,4,75,99,25,24,1,25,135,177.77777777777777,0.96,7.407407407407407,0.04,185.1851851851852,1.0
epsilon,Epsilon Greedy,test,5,100,124,25,24,2,25,134,179.1044776119403,0.96,14.925373134328359,0.08,186.56716417910448,1.0
epsilon,Epsilon Greedy,test,6,125,149,25,23,3,25,147,156.4625850340136,0.92,20.408163265306122,0.12,170.06802721088437,1.0
epsilon,Epsilon Greedy,test,7,150,174,25,25,0,25,116,215.51724137931035,1.0,0.0,0.0,215.51724137931035,1.0
epsilon,Epsilon Greedy,test,8,175,199,25,24,1,25,130,184.6153846153846,0.96,7.6923076923076925,0.04,192.30769230769232,1.0
epsilon,Epsilon Greedy,test,9,200,224,25,25,1,25,142,176.05633802816902,1.0,7.042253521126761,0.04,176.05633802816902,1.0
epsilon,Epsilon Greedy,test,10,225,249,25,23,4,25,140,164.28571428571428,0.92,28.571428571428573,0.16,178.57142857142858,1.0
epsilon,Epsilon Greedy,test,11,250,274,25,24,1,25,149,161.0738255033557,0.96,6.7114093959731544,0.04,167.78523489932886,1.0
epsilon,Epsilon Greedy,test,12,275,299,25,25,2,25,144,173.61111111111111,1.0,13.88888888888889,0.08,173.61111111111111,1.0
noisy,NoisyNet DQN,train,1,0,24,25,1,25,25,74,13.513513513513514,0.04,337.8378378378378,1.0,337.8378378378378,1.0
noisy,NoisyNet DQN,train,2,25,49,25,0,25,25,75,0.0,0.0,333.3333333333333,1.0,333.3333333333333,1.0
noisy,NoisyNet DQN,train,3,50,74,25,0,25,25,84,0.0,0.0,297.6190476190476,1.0,297.6190476190476,1.0
noisy,NoisyNet DQN,train,4,75,99,25,0,25,25,121,0.0,0.0,206.61157024793388,1.0,206.61157024793388,1.0
noisy,NoisyNet DQN,train,5,100,124,25,0,25,25,107,0.0,0.0,233.6448598130841,1.0,233.6448598130841,1.0
noisy,NoisyNet DQN,train,6,125,149,25,0,25,25,151,0.0,0.0,165.56291390728478,1.0,165.56291390728478,1.0
noisy,NoisyNet DQN,train,7,150,174,25,0,25,25,97,0.0,0.0,257.7319587628866,1.0,257.7319587628866,1.0
noisy,NoisyNet DQN,train,8,175,199,25,0,25,25,125,0.0,0.0,200.0,1.0,200.0,1.0
noisy,NoisyNet DQN,train,9,200,224,25,1,24,25,126,7.936507936507937,0.04,190.47619047619048,0.96,198.4126984126984,1.0
noisy,NoisyNet DQN,train,10,225,249,25,7,21,25,111,63.06306306306306,0.28,189.1891891891892,0.84,225.22522522522522,1.0
noisy,NoisyNet DQN,train,11,250,274,25,11,18,25,123,89.4308943089431,0.44,146.34146341463415,0.72,203.2520325203252,1.0
noisy,NoisyNet DQN,train,12,275,299,25,21,7,25,140,150.0,0.84,50.0,0.28,178.57142857142858,1.0
noisy,NoisyNet DQN,train,13,300,324,25,20,5,25,106,188.67924528301887,0.8,47.16981132075472,0.2,235.8490566037736,1.0
noisy,NoisyNet DQN,train,14,325,349,25,23,4,25,121,190.08264462809916,0.92,33.05785123966942,0.16,206.61157024793388,1.0
noisy,NoisyNet DQN,train,15,350,374,25,21,6,25,106,198.11320754716982,0.84,56.60377358490566,0.24,235.8490566037736,1.0
noisy,NoisyNet DQN,train,16,375,399,25,22,3,25,125,176.0,0.88,24.0,0.12,200.0,1.0
noisy,NoisyNet DQN,train,17,400,424,25,21,5,25,122,172.13114754098362,0.84,40.98360655737705,0.2,204.91803278688525,1.0
noisy,NoisyNet DQN,train,18,425,449,25,23,3,25,137,167.8832116788321,0.92,21.8978102189781,0.12,182.4817518248175,1.0
noisy,NoisyNet DQN,train,19,450,474,25,24,1,25,127,188.9763779527559,0.96,7.874015748031496,0.04,196.8503937007874,1.0
noisy,NoisyNet DQN,train,20,475,499,25,25,0,25,143,174.82517482517483,1.0,0.0,0.0,174.82517482517483,1.0
noisy,NoisyNet DQN,test,1,0,24,25,25,0,25,123,203.2520325203252,1.0,0.0,0.0,203.2520325203252,1.0
noisy,NoisyNet DQN,test,2,25,49,25,25,0,25,130,192.30769230769232,1.0,0.0,0.0,192.30769230769232,1.0
noisy,NoisyNet DQN,test,3,50,74,25,25,0,25,144,173.61111111111111,1.0,0.0,0.0,173.61111111111111,1.0
noisy,NoisyNet DQN,test,4,75,99,25,25,0,25,140,178.57142857142858,1.0,0.0,0.0,178.57142857142858,1.0
noisy,NoisyNet DQN,test,5,100,124,25,25,0,25,135,185.1851851851852,1.0,0.0,0.0,185.1851851851852,1.0
noisy,NoisyNet DQN,test,6,125,149,25,25,0,25,155,161.29032258064515,1.0,0.0,0.0,161.29032258064515,1.0
noisy,NoisyNet DQN,test,7,150,174,25,25,0,25,115,217.3913043478261,1.0,0.0,0.0,217.3913043478261,1.0
noisy,NoisyNet DQN,test,8,175,199,25,25,0,25,140,178.57142857142858,1.0,0.0,0.0,178.57142857142858,1.0
noisy,NoisyNet DQN,test,9,200,224,25,25,0,25,154,162.33766233766235,1.0,0.0,0.0,162.33766233766235,1.0
noisy,NoisyNet DQN,test,10,225,249,25,25,0,25,156,160.25641025641025,1.0,0.0,0.0,160.25641025641025,1.0
noisy,NoisyNet DQN,test,11,250,274,25,25,0,25,155,161.29032258064515,1.0,0.0,0.0,161.29032258064515,1.0
noisy,NoisyNet DQN,test,12,275,299,25,25,0,25,150,166.66666666666666,1.0,0.0,0.0,166.66666666666666,1.0
rnd,DQN + RND,train,1,0,24,25,0,25,25,41,0.0,0.0,609.7560975609756,1.0,609.7560975609756,1.0
rnd,DQN + RND,train,2,25,49,25,5,21,25,109,45.87155963302752,0.2,192.6605504587156,0.84,229.3577981651376,1.0
rnd,DQN + RND,train,3,50,74,25,7,20,25,146,47.945205479452056,0.28,136.986301369863,0.8,171.23287671232876,1.0
rnd,DQN + RND,train,4,75,99,25,9,18,25,176,51.13636363636363,0.36,102.27272727272727,0.72,142.04545454545453,1.0
rnd,DQN + RND,train,5,100,124,25,14,14,25,117,119.65811965811966,0.56,119.65811965811966,0.56,213.67521367521368,1.0
rnd,DQN + RND,train,6,125,149,25,18,9,25,117,153.84615384615384,0.72,76.92307692307692,0.36,213.67521367521368,1.0
rnd,DQN + RND,train,7,150,174,25,15,12,25,120,125.0,0.6,100.0,0.48,208.33333333333334,1.0
rnd,DQN + RND,train,8,175,199,25,14,16,25,89,157.30337078651687,0.56,179.77528089887642,0.64,280.8988764044944,1.0
rnd,DQN + RND,train,9,200,224,25,16,12,25,97,164.94845360824743,0.64,123.71134020618557,0.48,257.7319587628866,1.0
rnd,DQN + RND,train,10,225,249,25,18,12,25,116,155.17241379310346,0.72,103.44827586206897,0.48,215.51724137931035,1.0
rnd,DQN + RND,train,11,250,274,25,17,12,25,132,128.78787878787878,0.68,90.9090909090909,0.48,189.3939393939394,1.0
rnd,DQN + RND,train,12,275,299,25,16,9,25,106,150.9433962264151,0.64,84.90566037735849,0.36,235.8490566037736,1.0
rnd,DQN + RND,train,13,300,324,25,18,10,25,88,204.54545454545453,0.72,113.63636363636364,0.4,284.09090909090907,1.0
rnd,DQN + RND,train,14,325,349,25,16,11,25,112,142.85714285714286,0.64,98.21428571428571,0.44,223.21428571428572,1.0
rnd,DQN + RND,train,15,350,374,25,17,10,25,129,131.7829457364341,0.68,77.51937984496124,0.4,193.7984496124031,1.0
rnd,DQN + RND,train,16,375,399,25,12,15,25,100,120.0,0.48,150.0,0.6,250.0,1.0
rnd,DQN + RND,train,17,400,424,25,15,11,25,118,127.11864406779661,0.6,93.22033898305085,0.44,211.864406779661,1.0
rnd,DQN + RND,train,18,425,449,25,17,9,25,131,129.7709923664122,0.68,68.70229007633588,0.36,190.83969465648855,1.0
rnd,DQN + RND,train,19,450,474,25,15,15,25,94,159.5744680851064,0.6,159.5744680851064,0.6,265.9574468085106,1.0
rnd,DQN + RND,train,20,475,499,25,16,11,25,110,145.45454545454547,0.64,100.0,0.44,227.27272727272728,1.0
rnd,DQN + RND,test,1,0,24,25,23,3,25,117,196.5811965811966,0.92,25.641025641025642,0.12,213.67521367521368,1.0
rnd,DQN + RND,test,2,25,49,25,23,2,25,126,182.53968253968253,0.92,15.873015873015873,0.08,198.4126984126984,1.0
rnd,DQN + RND,test,3,50,74,25,25,2,25,127,196.8503937007874,1.0,15.748031496062993,0.08,196.8503937007874,1.0
rnd,DQN + RND,test,4,75,99,25,24,1,25,134,179.1044776119403,0.96,7.462686567164179,0.04,186.56716417910448,1.0
rnd,DQN + RND,test,5,100,124,25,24,2,25,134,179.1044776119403,0.96,14.925373134328359,0.08,186.56716417910448,1.0
rnd,DQN + RND,test,6,125,149,25,23,3,25,146,157.53424657534248,0.92,20.54794520547945,0.12,171.23287671232876,1.0
rnd,DQN + RND,test,7,150,174,25,25,0,25,115,217.3913043478261,1.0,0.0,0.0,217.3913043478261,1.0
rnd,DQN + RND,test,8,175,199,25,24,1,25,130,184.6153846153846,0.96,7.6923076923076925,0.04,192.30769230769232,1.0
rnd,DQN + RND,test,9,200,224,25,25,1,25,142,176.05633802816902,1.0,7.042253521126761,0.04,176.05633802816902,1.0
rnd,DQN + RND,test,10,225,249,25,24,3,25,139,172.66187050359713,0.96,21.58273381294964,0.12,179.85611510791367,1.0
rnd,DQN + RND,test,11,250,274,25,24,1,25,150,160.0,0.96,6.666666666666667,0.04,166.66666666666666,1.0
rnd,DQN + RND,test,12,275,299,25,25,2,25,144,173.61111111111111,1.0,13.88888888888889,0.08,173.61111111111111,1.0
Karthikeya27adv8highwayV2,Policy (Karthikeya27adv8highwayV2),train,1,0,24,25,0,25,25,43,0.0,0.0,581.3953488372093,1.0,581.3953488372093,1.0
Karthikeya27adv8highwayV2,Policy (Karthikeya27adv8highwayV2),train,2,25,49,25,8,17,25,188,42.5531914893617,0.32,90.42553191489361,0.68,132.9787234042553,1.0
Karthikeya27adv8highwayV2,Policy (Karthikeya27adv8highwayV2),train,3,50,74,25,22,3,25,499,44.08817635270541,0.88,6.012024048096192,0.12,50.100200400801604,1.0
Karthikeya27adv8highwayV2,Policy (Karthikeya27adv8highwayV2),train,4,75,99,25,13,13,25,123,105.6910569105691,0.52,105.6910569105691,0.52,203.2520325203252,1.0
Karthikeya27adv8highwayV2,Policy (Karthikeya27adv8highwayV2),train,5,100,124,25,6,20,25,104,57.69230769230769,0.24,192.30769230769232,0.8,240.3846153846154,1.0
Karthikeya27adv8highwayV2,Policy (Karthikeya27adv8highwayV2),train,6,125,149,25,7,20,25,105,66.66666666666667,0.28,190.47619047619048,0.8,238.0952380952381,1.0
Karthikeya27adv8highwayV2,Policy (Karthikeya27adv8highwayV2),train,7,150,174,25,17,12,25,141,120.56737588652483,0.68,85.1063829787234,0.48,177.3049645390071,1.0
Karthikeya27adv8highwayV2,Policy (Karthikeya27adv8highwayV2),train,8,175,199,25,14,13,25,138,101.44927536231884,0.56,94.20289855072464,0.52,181.15942028985506,1.0
Karthikeya27adv8highwayV2,Policy (Karthikeya27adv8highwayV2),train,9,200,224,25,9,21,25,144,62.5,0.36,145.83333333333334,0.84,173.61111111111111,1.0
Karthikeya27adv8highwayV2,Policy (Karthikeya27adv8highwayV2),train,10,225,249,25,8,19,24,658,12.158054711246201,0.32,28.875379939209726,0.76,36.474164133738604,0.96
Karthikeya27adv8highwayV2,Policy (Karthikeya27adv8highwayV2),train,11,250,274,25,12,19,25,130,92.3076923076923,0.48,146.15384615384616,0.76,192.30769230769232,1.0
Karthikeya27adv8highwayV2,Policy (Karthikeya27adv8highwayV2),train,12,275,299,25,8,18,25,121,66.11570247933884,0.32,148.7603305785124,0.72,206.61157024793388,1.0
