series_id,method,phase,block,episode_start,episode_end,episodes_in_block,collision_count,out_of_road_count,safety_failure_count,total_steps,collisions_per_1000_steps,collision_rate,out_of_road_per_1000_steps,out_of_road_rate,safety_failures_per_1000_steps,safety_failure_rate
epsilon,Epsilon Greedy,train,1,0,24,25,0,25,25,46,0.0,0.0,543.4782608695652,1.0,543.4782608695652,1.0
epsilon,Epsilon Greedy,train,2,25,49,25,1,24,25,45,22.22222222222222,0.04,533.3333333333334,0.96,555.5555555555555,1.0
epsilon,Epsilon Greedy,train,3,50,74,25,6,21,25,105,57.142857142857146,0.24,200.0,0.84,238.0952380952381,1.0
epsilon,Epsilon Greedy,train,4,75,99,25,6,23,25,167,35.92814371257485,0.24,137.7245508982036,0.92,149.7005988023952,1.0
epsilon,Epsilon Greedy,train,5,100,124,25,10,18,25,169,59.171597633136095,0.4,106.50887573964496,0.72,147.92899408284023,1.0
epsilon,Epsilon Greedy,train,6,125,149,25,8,18,25,210,38.095238095238095,0.32,85.71428571428571,0.72,119.04761904761905,1.0
epsilon,Epsilon Greedy,train,7,150,174,25,9,21,25,194,46.391752577319586,0.36,108.24742268041237,0.84,128.8659793814433,1.0
epsilon,Epsilon Greedy,train,8,175,199,25,7,19,25,203,34.48275862068966,0.28,93.5960591133005,0.76,123.15270935960591,1.0
epsilon,Epsilon Greedy,train,9,200,224,25,13,15,25,171,76.0233918128655,0.52,87.71929824561404,0.6,146.19883040935673,1.0
epsilon,Epsilon Greedy,train,10,225,249,25,17,11,25,118,144.0677966101695,0.68,93.22033898305085,0.44,211.864406779661,1.0
epsilon,Epsilon Greedy,train,11,250,274,25,16,9,25,124,129.03225806451613,0.64,72.58064516129032,0.36,201.61290322580646,1.0
epsilon,Epsilon Greedy,train,12,275,299,25,15,14,25,125,120.0,0.6,112.0,0.56,200.0,1.0
epsilon,Epsilon Greedy,train,13,300,324,25,17,9,25,113,150.44247787610618,0.68,79.64601769911505,0.36,221.23893805309734,1.0
epsilon,Epsilon Greedy,train,14,325,349,25,17,9,25,105,161.9047619047619,0.68,85.71428571428571,0.36,238.0952380952381,1.0
epsilon,Epsilon Greedy,train,15,350,374,25,14,13,25,113,123.89380530973452,0.56,115.04424778761062,0.52,221.23893805309734,1.0
epsilon,Epsilon Greedy,train,16,375,399,25,19,8,25,130,146.15384615384616,0.76,61.53846153846154,0.32,192.30769230769232,1.0
epsilon,Epsilon Greedy,train,17,400,424,25,15,12,25,103,145.63106796116506,0.6,116.50485436893204,0.48,242.71844660194174,1.0
epsilon,Epsilon Greedy,train,18,425,449,25,17,9,25,105,161.9047619047619,0.68,85.71428571428571,0.36,238.0952380952381,1.0
epsilon,Epsilon Greedy,train,19,450,474,25,16,13,25,124,129.03225806451613,0.64,104.83870967741936,0.52,201.61290322580646,1.0
epsilon,Epsilon Greedy,train,20,475,499,25,16,10,25,109,146.78899082568807,0.64,91.74311926605505,0.4,229.3577981651376,1.0
epsilon,Epsilon Greedy,test,1,0,24,25,25,0,25,125,200.0,1.0,0.0,0.0,200.0,1.0
epsilon,Epsilon Greedy,test,2,25,49,25,25,0,25,132,189.3939393939394,1.0,0.0,0.0,189.3939393939394,1.0
epsilon,Epsilon Greedy,test,3,50,74,25,25,0,25,152,164.47368421052633,1.0,0.0,0.0,164.47368421052633,1.0
epsilon,Epsilon Greedy,test,4,75,99,25,25,0,25,145,172.41379310344828,1.0,0.0,0.0,172.41379310344828,1.0
epsilon,Epsilon Greedy,test,5,100,124,25,25,0,25,139,179.85611510791367,1.0,0.0,0.0,179.85611510791367,1.0
epsilon,Epsilon Greedy,test,6,125,149,25,25,0,25,157,159.23566878980893,1.0,0.0,0.0,159.23566878980893,1.0
epsilon,Epsilon Greedy,test,7,150,174,25,25,0,25,117,213.67521367521368,1.0,0.0,0.0,213.67521367521368,1.0
epsilon,Epsilon Greedy,test,8,175,199,25,25,0,25,142,176.05633802816902,1.0,0.0,0.0,176.05633802816902,1.0
epsilon,Epsilon Greedy,test,9,200,224,25,25,0,25,161,155.27950310559007,1.0,0.0,0.0,155.27950310559007,1.0
epsilon,Epsilon Greedy,test,10,225,249,25,25,0,25,164,152.4390243902439,1.0,0.0,0.0,152.4390243902439,1.0
epsilon,Epsilon Greedy,test,11,250,274,25,25,0,25,159,157.23270440251574,1.0,0.0,0.0,157.23270440251574,1.0
epsilon,Epsilon Greedy,test,12,275,299,25,25,0,25,154,162.33766233766235,1.0,0.0,0.0,162.33766233766235,1.0
noisy,NoisyNet DQN,train,1,0,24,25,2,23,25,72,27.77777777777778,0.08,319.44444444444446,0.92,347.22222222222223,1.0
noisy,NoisyNet DQN,train,2,25,49,25,10,16,25,109,91.74311926605505,0.4,146.78899082568807,0.64,229.3577981651376,1.0
noisy,NoisyNet DQN,train,3,50,74,25,18,9,25,132,136.36363636363637,0.72,68.18181818181819,0.36,189.3939393939394,1.0
noisy,NoisyNet DQN,train,4,75,99,25,24,1,25,168,142.85714285714286,0.96,5.9523809523809526,0.04,148.8095238095238,1.0
noisy,NoisyNet DQN,train,5,100,124,25,25,0,25,152,164.47368421052633,1.0,0.0,0.0,164.47368421052633,1.0
noisy,NoisyNet DQN,train,6,125,149,25,25,0,25,129,193.7984496124031,1.0,0.0,0.0,193.7984496124031,1.0
noisy,NoisyNet DQN,train,7,150,174,25,25,1,25,137,182.4817518248175,1.0,7.299270072992701,0.04,182.4817518248175,1.0
noisy,NoisyNet DQN,train,8,175,199,25,25,0,25,133,187.9699248120301,1.0,0.0,0.0,187.9699248120301,1.0
noisy,NoisyNet DQN,train,9,200,224,25,24,1,25,136,176.47058823529412,0.96,7.352941176470588,0.04,183.8235294117647,1.0
noisy,NoisyNet DQN,train,10,225,249,25,25,0,25,130,192.30769230769232,1.0,0.0,0.0,192.30769230769232,1.0
noisy,NoisyNet DQN,train,11,250,274,25,25,0,25,140,178.57142857142858,1.0,0.0,0.0,178.57142857142858,1.0
noisy,NoisyNet DQN,train,12,275,299,25,25,0,25,194,128.8659793814433,1.0,0.0,0.0,128.8659793814433,1.0
noisy,NoisyNet DQN,train,13,300,324,25,25,0,25,142,176.05633802816902,1.0,0.0,0.0,176.05633802816902,1.0
noisy,NoisyNet DQN,train,14,325,349,25,25,0,25,129,193.7984496124031,1.0,0.0,0.0,193.7984496124031,1.0
noisy,NoisyNet DQN,train,15,350,374,25,25,0,25,136,183.8235294117647,1.0,0.0,0.0,183.8235294117647,1.0
noisy,NoisyNet DQN,train,16,375,399,25,25,0,25,139,179.85611510791367,1.0,0.0,0.0,179.85611510791367,1.0
noisy,NoisyNet DQN,train,17,400,424,25,25,0,25,136,183.8235294117647,1.0,0.0,0.0,183.8235294117647,1.0
noisy,NoisyNet DQN,train,18,425,449,25,25,0,25,144,173.61111111111111,1.0,0.0,0.0,173.61111111111111,1.0
noisy,NoisyNet DQN,train,19,450,474,25,25,0,25,169,147.92899408284023,1.0,0.0,0.0,147.92899408284023,1.0
noisy,NoisyNet DQN,train,20,475,499,25,25,0,25,134,186.56716417910448,1.0,0.0,0.0,186.56716417910448,1.0
noisy,NoisyNet DQN,test,1,0,24,25,25,0,25,123,203.2520325203252,1.0,0.0,0.0,203.2520325203252,1.0
noisy,NoisyNet DQN,test,2,25,49,25,25,0,25,130,192.30769230769232,1.0,0.0,0.0,192.30769230769232,1.0
noisy,NoisyNet DQN,test,3,50,74,25,25,0,25,145,172.41379310344828,1.0,0.0,0.0,172.41379310344828,1.0
noisy,NoisyNet DQN,test,4,75,99,25,25,0,25,141,177.3049645390071,1.0,0.0,0.0,177.3049645390071,1.0
noisy,NoisyNet DQN,test,5,100,124,25,25,0,25,135,185.1851851851852,1.0,0.0,0.0,185.1851851851852,1.0
noisy,NoisyNet DQN,test,6,125,149,25,25,0,25,155,161.29032258064515,1.0,0.0,0.0,161.29032258064515,1.0
noisy,NoisyNet DQN,test,7,150,174,25,25,0,25,115,217.3913043478261,1.0,0.0,0.0,217.3913043478261,1.0
noisy,NoisyNet DQN,test,8,175,199,25,25,0,25,141,177.3049645390071,1.0,0.0,0.0,177.3049645390071,1.0
noisy,NoisyNet DQN,test,9,200,224,25,25,0,25,154,162.33766233766235,1.0,0.0,0.0,162.33766233766235,1.0
noisy,NoisyNet DQN,test,10,225,249,25,25,0,25,157,159.23566878980893,1.0,0.0,0.0,159.23566878980893,1.0
noisy,NoisyNet DQN,test,11,250,274,25,25,0,25,155,161.29032258064515,1.0,0.0,0.0,161.29032258064515,1.0
noisy,NoisyNet DQN,test,12,275,299,25,25,0,25,150,166.66666666666666,1.0,0.0,0.0,166.66666666666666,1.0
