series_id,method,phase,block,episode_start,episode_end,episodes_in_block,collision_count,total_steps,collisions_per_1000_steps,collision_rate
Karthikeya27adv23,Policy (Karthikeya27adv23),test,2,25,49,25,25,130,192.30769230769232,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),test,3,50,74,25,25,144,173.61111111111111,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),test,4,75,99,25,25,140,178.57142857142858,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),test,5,100,124,25,25,135,185.1851851851852,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),test,6,125,149,25,25,155,161.29032258064515,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),test,7,150,174,25,25,115,217.3913043478261,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),test,8,175,199,25,25,140,178.57142857142858,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),test,9,200,224,25,25,154,162.33766233766235,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),test,10,225,249,25,25,156,160.25641025641025,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),test,11,250,274,25,25,155,161.29032258064515,1.0
Karthikeya27adv23,Policy (Karthikeya27adv23),test,12,275,299,25,25,150,166.66666666666666,1.0
