eviction_episode,visit_count,first_episode,last_episode,age_episodes,unique_actions_executed,near_promotion,recent_candidate,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,blocked_evidence_archived
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
304,1,304,304,0,1,False,True,511,0,0,1,1,0,0,0,False
306,2,302,302,4,1,False,False,495,16,0,2,2,0,0,0,False
306,2,302,302,4,1,False,False,511,0,0,2,1,0,0,1,False
306,2,303,303,3,1,False,False,511,0,0,2,0,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
306,1,304,304,2,1,False,True,511,0,0,1,1,0,0,0,False
308,1,304,304,4,1,False,False,511,0,0,1,1,0,0,0,False
308,1,304,304,4,1,False,False,511,0,0,1,1,0,0,0,False
308,1,304,304,4,1,False,False,511,0,0,1,1,0,0,0,False
